name,birth,incoming_links,outgoing_links
Cornelius Castoriadis, (1922–1997),Piera Aulagnier:Joan Robinson:J. G. Fichte:Melanie Klein:Aristotle:Martin Heidegger:Hannah Arendt:Karl Marx:André Leroi-Gourhan:Maurice Merleau-Ponty:Sigmund Freud:G. L. Boggs:Max Weber:Leon Trotsky:Rosa Luxemburg:Giambattista Vico:Edmund Husserl:Jean-Jacques Rousseau:Jean Laplanche:Susan Isaacs:Gaston Bachelard:Jean-Bertrand Pontalis:C. L. R. James:Serge Latouche:René Poirier:Jacques Ellul:Jacques Derrida:Paul Ricœur:Francisco Varela:György Lukács:,Andrew Arato:Sophie Klimis:Jean Baudrillard:Edgar Morin:Jonathan Nitzan:Robin Hahnel:Frieder Otto Wolf:Nikolas Kompridis:E. P. Thompson:Vincent de Gaulejac:Maurice Brinton:Hans Joas:Takis Fotopoulos:Shimshon Bichler:Guy Debord:Sudipta Kaviraj:François Roustang:Lorraine Code:Georges Lapassade:Richard Rorty:Johann Pál Arnason:Daniel Cohn-Bendit:Nicole Loraux:Zygmunt Bauman:Myriam Revault d'Allonnes:Jean-Claude Michéa:Raphaël Gély:Harald Wolf:Danilo Martuccelli:Pierre Vidal-Naquet:Gabriel Rockhill:Graham Ward:Vincent Descombes:Jacques Le Goff:Mathieu Potte-Bonneville:Laurent Van Eynde:Serge Latouche:Hans G. Furth:René Lourau:Anthony Giddens:Elias Petropoulos:Marcel Gauchet:Georges Duby:Francisco Varela:John B. Thompson:Yorgos Oikonomou:Claude Lefort:
Jean Cavaillès, (1903–1944),Léon Brunschvicg:Bernard Bolzano:,Gilles-Gaston Granger:Louis Althusser:Georges Canguilhem:Jean Hyppolite:Jules Vuillemin:
Stanley Cavell, (1926–2018),André Bazin:Claude Esteban:Thoreau:Heidegger:Emerson:Shakespeare:Jean Renoir:Northrop Frye:Roger Sessions:Rogers Albritton:Wittgenstein:Freud:Austin:Nietzsche:Kierkegaard:Robert Warshow:Thomas Kuhn:,Shoshana Felman:Paul Guyer:Toril Moi:Nikolas Kompridis:Terrence Malick:Jay Cantor:Charles Bernstein:Marc Shell:Nancy Bauer:Arnaud Desplechin:Rae Langton:Arnold Davidson:Paul W. Franks:Ross McElwee:Alice Crary:Hilary Putnam:Hent de Vries:Robert Gardner:Stephen Mulhall:Cora Diamond:Sandra Laugier:Michael Fried:Barbara Herman:Claude Esteban:James F. Conant:David Macarthur:Bernard Williams:Cornel West:Vicki Hearne:Thomas Kuhn:
Pierre Charron, (1541–1603),Raymond of Sabunde:Michel de Montaigne:Justus Lipsius:Sextus Empiricus:,
Cheng Yi (philosopher),) (1033–1107),Zhou Dunyi:Confucius:Mencius:,Zhu Xi:
Nikolai Chernyshevsky, (1828–1889),Ricardo:Blanc:Malthus:Lamarck:Mill:Herzen:Hegel:Nekrasov:Proudhon:Comte:Feuerbach:Sechenov:Belinsky:Considérant:Rousseau:Schelling:Smith:Fourier:,Marković:Nechayev:Lavrov:Antonovich:Goldman:Kropotkin:Mikhaylovsky:Plekhanov:Pisarev:Dobrolyubov:Lenin:Russian Marxists:Tkachev:
Roderick Chisholm, (1916–1999),Curt John Ducasse:Wilfrid Sellars:Thomas Reid:Clarence Irving Lewis:Donald C. Williams:Alexius Meinong:,Selmer Bringsjord:Fred Feldman:Richard Taylor:Keith Lehrer:Jaegwon Kim:Peter D. Klein:Ernest Sosa:Dale Jacquette:Dean Zimmerman:Edmund Gettier:
Chou Tun-Yi,) (1017–1073),Confucius:Mencius:,Cheng Yi:Zhu Xi:Cheng Hao:
Chrysippus, (279–207 BC),Diodorus Cronus:Cleanthes:Plato:Aristotle:Philo:Zeno of Citium:,
Patricia Churchland, (born 1943),Paul Churchland:Willard Van Orman Quine:David Hume:Francis Crick:,
Paul Churchland, (born 1942),Patricia Churchland:W. V. O. Quine:Paul Feyerabend:Wilfred Sellars:Karl Popper:Thomas Kuhn:,Patricia Churchland:Ray Brassier:
Cicero, (106 BC–43 BC),Plato:Socrates:Philo of Larissa:Panaetius:,Western philosophy:
August Cieszkowski, (1814–1894),G. W. F. Hegel:Karl Ludwig Michelet:Joachim of Fiore:,Karl Marx:Józef Kremer:Józef Kallenbach:Bronisław Trentowski:Cyprian Norwid:Zygmunt Krasinski:Moses Hess:
Emil Cioran, (1911–1995),Emily Brontë:Arthur Schopenhauer:Ludwig Klages:Oswald Spengler:Teresa of Ávila:Constantin Noica:Martin Heidegger:Philipp Mainländer:Joseph Joubert:Nicolas Chamfort:Georg Simmel:Fyodor Dostoevsky:Lev Shestov:Immanuel Kant:Søren Kierkegaard:François de La Rochefoucauld:Blaise Pascal:Paul Valéry:Friedrich Nietzsche:Nae Ionescu:Joseph de Maistre:,Jean Baudrillard:Fernando Savater:Eugene Thacker:Thomas Ligotti:Nick Land:
Hélène Cixous, (born 1937),Maurice Blanchot:Sigmund Freud:Jacques Lacan:Jacques Derrida:,Avital Ronell:Jacques Derrida:
Johannes Clauberg, (1622–1665),Aristotle:Descartes:,
Cleanthes, (301–232 BC),Zeno of Citium:,Sphaerus:Chrysippus:
Gerald Cohen, (1941–2009),John Rawls:Louis Althusser:Karl Marx:Gilbert Ryle:Isaiah Berlin:,Larry Temkin:Jonathan Wolff:John McMurtry:Alan Carter:John Roemer:Euclid Tsakalotos:Michael Otsuka:Will Kymlicka:
Hermann Cohen, (1842–1918),Friedrich Albert Lange:Friedrich Adolf Trendelenburg:,Paul Natorp:Ernst Cassirer:Leo Strauss:Martin Buber:Henry E. Allison:Peter Strawson:
Morris Raphael Cohen, (1880–1947),Hugo Münsterberg:Josiah Royce:William James:,Ernest Nagel:Sidney Hook:
John Colet, (1466–1519),Girolamo Savonarola:Guillaume Budé:,Desiderius Erasmus:
R. G. Collingwood, (1889–1943),Giovanni Gentile:Giambattista Vico:J. A. Smith:Guido de Ruggiero:Wilhelm Dilthey:Benedetto Croce:F. H. Bradley:Immanuel Kant:G. W. F. Hegel:,Alasdair MacIntyre:Leo Strauss:
Anthony Collins, (1676–1729),John Locke:,
Auguste Comte, (1798–1857),Diderot:Maistre:Bichat:Bacon:Ibn Khaldun:Saint-Simon:Descartes:Condorcet:,Pierre Laffitte:Émile Littré:Émile Durkheim:Frederic Harrison:Edward Spencer Beesly:John Stuart Mill:Charles Darwin:Herbert Spencer:Karl Marx:Eugen Dühring:George Henry Lewes:Leo Strauss:Sigmund Freud:Friedrich Nietzsche:Charles Maurras:Harriet Martineau:
Étienne Bonnot de Condillac, (1715–1780),Locke:,Helvétius:Bello:Maine de Biran:Lavoisier:Rousseau:Cousin:
Marquis de Condorcet, (1743–1794),Leonhard Euler:Jean-Jacques Rousseau:Turgot:Benjamin Franklin:Voltaire:Jean le Rond d'Alembert:,Liberalism:Pierre Jean George Cabanis:Friedrich Nietzsche:Charles Darwin:Karl Marx:Jean-Marie Roland:Thomas Clarkson:Sigmund Freud:André Chénier:Jacques Pierre Brissot:Henri de Saint-Simon:
Confucius, (551 BC–479 BC),I Ching:Zhou dynasties:Book of Rites:Shang:Xia:Classic of Poetry:,Xun Kuang:Neoconfucians:Alexander Pope:François Quesnay:Mencius:Han Yu:Benjamin Franklin:Ezra Pound:Chinese philosophy:Friedrich Schiller:Neotaoists:Gottfried Wilhelm Leibniz:Christian Wolff:Niels Bohr:Voltaire:Allen Ginsberg:Robert Cummings Neville:Wang Shouren:Western thinkers:Thomas Jefferson:Zhu Xi:
Henry Corbin, (1903–1978),Nasr:Avicenna:Heidegger:Gilson:Luther:Suhrawardi:Massignon:Ibn Arabi:Tabataba'i:,Temenos Academy:Harold Bloom:Charles Olson:James Hillman:Gilbert Durand:Jacques Lacan:Dariush Shayegan:William Chittick:Hossein Nasr:
Victor Cousin, (1792–1867),Thomas Reid:Friedrich Wilhelm Joseph Schelling:Pierre Paul Royer-Collard:Friedrich Heinrich Jacobi:Georg Wilhelm Friedrich Hegel:Plotinus:Maine de Biran:René Descartes:Immanuel Kant:,Ralph Waldo Emerson:Théodore Simon Jouffroy:Patrick Edward Dove:Jean Philibert Damiron:Jules Simon:Paul Janet:Charles de Rémusat:Felix Ravaisson-Mollien:Pierre-Joseph Proudhon:Jules Barthélemy Saint-Hilaire:Adolphe Garnier:Adolphe Franck:
William Crathorn, (14th century),William of Ockham:,
Benedetto Croce, (1866–1952),Francesco de Sanctis:Friedrich Wilhelm Joseph Schelling:Giovanni Gentile:Georg Wilhelm Friedrich Hegel:Giambattista Vico:Jean-Jacques Rousseau:Antonio Labriola:Johann Gottlieb Fichte:Immanuel Kant:,Guido De Ruggiero:Giovanni Gentile:Julius Evola:Eugenio Montale:Giorgio Bassani:José Carlos Mariátegui:Antonio Gramsci:George Mosse:Carlo Rosselli:Georges Sorel:R. G. Collingwood:
Ralph Cudworth, (1617–1688),Plato:,Masham:Shaftesbury:
Arthur Danto, (1924–2013),Ludwig Wittgenstein:Nelson Goodman:Georg Wilhelm Friedrich Hegel:Arthur Schopenhauer:Jean-Paul Sartre:Maurice Merleau-Ponty:Andy Warhol:Friedrich Nietzsche:,David Carrier:Noël Carroll:George Dickie:
Charles Darwin, (1809–1882),Thomas Malthus:John Herschel:Gilbert White:Alexander von Humboldt:Charles Lyell:,
Donald Davidson (philosopher), (1917–2003),Russell:Quine:Kant:Wittgenstein:Feigl:Frege:Goodman:Tarski:,Jeff Malpas:Colin McGinn:Kirk Ludwig:Richard Rorty:Robert Brandom:Tyler Burge:Mark Bevir:Michael Dummett:John McDowell:Ernest Lepore:
Simone de Beauvoir, (1908–1986),Wollstonecraft:Heidegger:Sade:Hegel:Kant:Marx:Darwin:Bergson:Descartes:Husserl:Leibniz:Freud:Nietzsche:Kierkegaard:Sartre:,Greer:Quito:Friedan:Hoagland:Paglia:Rich:Butler:Kim:Camus:Sartre:
Joseph de Maistre, (1753–1821),Montesquieu:Bible:Socrates:Aristotle:Aquinas:Tertullian:Fénelon:Plutarch:Vico:Plato:Descartes:Gibbon:Malebranche:Augustine:More:Origen:Bossuet:Church Fathers:Hume:Rousseau:Voltaire:Saint-Martin:Bonald:Burke:Erasmus:,Newman:Belloc:Buckley:MacDonald:Boutang:Lévi:Comte:Evola:Veuillot:Chesterton:Girard:Cioran:Rosmini:von Haller:Barbey:Guénon:Schmitt:Donoso:Ljotić:Saint-Simon:Yockey:Bernanos:Walsh:Saint-Bonnet:Benson:Carroll:Bonald:Bloy:Baudelaire:Lewis:Tolkien:Kirk:Maurras:
Paul de Man, (1919–1983),Jacques Derrida:,
Guy Debord, (1931–1994),Marquis de Sade:Cornelius Castoriadis:Friedrich Engels:G. W. F. Hegel:Frankfurt School:Karl Marx:Jean-Paul Sartre:Comte de Lautréamont:Dada:György Lukács:Andre Breton:Henri Lefebvre:Isidore Isou:Anton Pannekoek:Georges Bataille:,Jean Baudrillard:Tiqqun:Post-left anarchy:John Zerzan:Paul Virilio:Giorgio Agamben:Ken Knabb:May 1968:Punk rock:
Gilles Deleuze, (1925–1995),Kant:Bergson:Whitehead:Freud:Borges:Marx:Alquié:Wahl:Simondon:Lacan:Canguilhem:Gandillac:Shestov:Uexküll:Althusser:Kafka:Burroughs:Scotus:Hume:Spinoza:Proust:Peirce:Sartre:Lawrence:Hyppolite:Klossowski:Foucault:Leibniz:Beckett:Nietzsche:Bateson:,Bryant:Braidotti:Badiou:Land:Massumi:Brassier:Latour:Pelbart:Stiegler:Hardt:Agamben:Reynolds:Negri:Grosz:Fisher:Sloterdijk:Foucault:Shapiro:Guattari:DeLanda:
Giorgio Del Vecchio, (1878–1970),,Norberto Bobbio:
Democritus, (460–370 BC),Melissus of Samos:Leucippus:,Montaigne:Epicurus:George Santayana:Lucretius:Karl Marx:Baruch Spinoza:Pyrrho:Friedrich Nietzsche:Aristotle:Severino:Michel Onfray:
Daniel Dennett, (born 1942),Wilfrid Sellars:Ludwig Wittgenstein:W. V. O. Quine:David Hume:Charles Darwin:Gilbert Ryle:Richard Dawkins:,Keith Frankish:Peter Carruthers:Sam Harris:Douglas Hofstadter:Richard Dawkins:Geoffrey Miller:
Jacques Derrida, (1930–2004),Heidegger:Husserl:Freud:Austin:Levinas:Marx:Kierkegaard:Meister Eckhart:Plato:Barthes:Bataille:Hegel:Kafka:Genet:Rousseau:Lévi-Strauss:Benjamin:Blanchot:Nietzsche:De Saussure:Joyce:,Paul B. Preciado:Béatrice Galinon-Mélénec:Maebh Long:Richard Rorty:Bernard Stiegler:John D. Caputo:Judith Butler:Peter Rollins:Gayatri Chakravorty Spivak:Jean-Luc Nancy:Sarah Kofman:Paul de Man:Geoffrey Hartman:James KA Smith:Catherine Malabou:Philippe Lacoue-Labarthe:
René Descartes, (1596–1650),Suárez:Alhazen:Al-Ghazali:Harvey:Ockham:Teresa of Ávila:Averroes:Aristotle:Aquinas:Montaigne:Sextus Empiricus:Plato:Stoics:Archimedes:Augustine:Mersenne:Anselm:Beeckman:Viète:Jacobus Golius:Elisabeth of the Palatinate:Duns Scotus:,Kant:Husserl:Locke:Western philosophy:Gibbon:Malebranche:Bossuet:Arnauld:Pascal:Schopenhauer:Huygens:Hume:Voltaire:Rousseau:Spinoza:Chomsky:Leibniz:Nietzsche:Newton:
Antoine Destutt de Tracy, (1754–1836),Condillac:Cabanis:Condorcet:Locke:,Jefferson:
John Dewey, (1859–1952),Wundt:George:Hegel:Kant:Darwin:William James:Green:Plato:Parker:Mead:Ward:Rousseau:Peirce:Locke:,Herbert Schneider:Veblen:Kaplan:Makiguchi:Ambedkar:Richard McKeon:Honneth:Margaret Naumburg:Hook:Durkheim:Park:Santayana:Hu Shih:Putnam:West:Rorty:Habermas:Greene:Chomsky:Mills:Anderson:Martin:
Denis Diderot, (1713–1784),Niccolò Machiavelli:Lucretius:Samuel Richardson:Jean-Jacques Rousseau:Baruch Spinoza:Laurence Sterne:Isaac Newton:John Locke:Aristotle:Voltaire:René Descartes:Miguel de Cervantes:,Auguste Comte:Johann Wolfgang von Goethe:Milan Kundera:Karl Marx:Baron d'Holbach:Günter Grass:Étienne Bonnot de Condillac:François-Noël Babeuf:Jacques Barzun:
Joseph Dietzgen, (1828–1888),Marx:Hegel:Kant:Feuerbach:Leibniz:Spinoza:,Pannekoek:Marx:Lenin:
Wilhelm Dilthey, (1833–1911),August Böckh:Johann Gustav Droysen:Friedrich Adolf Trendelenburg:Georg Wilhelm Friedrich Hegel:Arthur Schopenhauer:Johann Gottfried Herder:Friedrich Schleiermacher:German Romanticism:Immanuel Kant:,Hans-Georg Gadamer:José Ortega y Gasset:Jürgen Habermas:Franz Boas:Rudolf Steiner:Karl Jaspers:Max Weber:Martin Heidegger:Georg Simmel:R. G. Collingwood:
Diogenes of Sinope,NA,Antisthenes:,
Fyodor Dostoyevsky,NA,,Mikhail Bakhtin:
Curt Ducasse, (1881–1969),Josiah Royce:William James:,Wilfrid Sellars:Roderick Chisholm:
Pierre Duhem, (1861–1916),Ernst Mach:Blaise Pascal:William Rankine:Willard Gibbs:,Thomas Kuhn:John Worrall:Émile Jouguet:Stephen Menn:Stanley Jaki:
Michael Dummett, (1925–2011),Ludwig Wittgenstein:J. M. E. McTaggart:Donald Davidson:G. E. M. Anscombe:Gilbert Ryle:Gottlob Frege:L. E. J. Brouwer:Peter Geach:,Carlo Penco:Luciano Floridi:Barry Smith:Gareth Evans:Timothy Williamson:Ian Rumfitt:Crispin Wright:Hans Sluga:Christopher Peacocke:
Raya Dunayevskaya, (1910–1987),Frantz Fanon:Leon Trotsky:Rosa Luxemburg:Karl Marx:Georg Wilhelm Friedrich Hegel:Friedrich Engels:Vladimir Lenin:,Cyril Smith:Andrew Kliman:Kevin B. Anderson:Erich Fromm:
Enrique Dussel, (born 1934),Xavier Zubiri:José Ortega y Gasset:Karl Marx:André Gunder Frank:Paul Ricoeur:Emmanuel Levinas:Mohammed Abed al-Jabri:,
Ronald Dworkin, (1931–2013),H. L. A. Hart:John Rawls:Rupert Cross:Plato:Aristotle:Learned Hand:,Jeremy Waldron:Robert Alexy:
Meister Eckhart, (1260–1327/8),Proclus:Johannes Scottus Eriugena:Pseudo-Dionysius:Thomas Aquinas:Augustine of Hippo:,Eckhart Tolle:Gustav Landauer:Jacques Derrida:Erasmus:D. T. Suzuki:Henry Suso:Julius Evola:Martin Luther:John Calvin:Huldrych Zwingli:John Tauler:Henry VIII:Nicholas of Cusa:Martin Heidegger:Matthew Fox:Carl Gustav Jung:
Umberto Eco, (1932–2016),Charles Sanders Peirce:James Joyce:Thomas Aquinas:Arthur Conan Doyle:Immanuel Kant:Jorge Luis Borges:,Stuart Hall:
Christian von Ehrenfels, (1856–1932),Ernst Mach:Franz Brentano:Alexius Meinong:,Felix Weltsch:George Stout:
Albert Einstein, (1879–1955),David Hume:Bernhard Riemann:Michele Besso:Gottfried Wilhelm Leibniz:Ernst Mach:Arthur Schopenhauer:James Clerk Maxwell:Thomas Young:Baruch Spinoza:Isaac Newton:Moritz Schlick:Hendrik Lorentz:Hermann Minkowski:,modern physicists:
Ralph Waldo Emerson, (1803–1882),Montaigne:Hafez:de Gérando:Swedenborg:Coleridge:de Staël:Descartes:Mary Moody Emerson:Cousin:Carlyle:,Muir:Thoreau:Whitman:Harold Bloom:Nietzsche:Freud:James:Marx:
Empedocles, (490 BC–430 BC),Alcmaeon of Croton:Parmenides:Pythagoreanism:,Lucretius:Socrates:Critias:Gorgias:Friedrich Nietzsche:Aristotle:
Friedrich Engels, (1820–1895),Heraclitus:Ricardo:Goethe:Morgan:Hess:Hegel:Stirner:Feuerbach:Rousseau:Marx:Smith:Fourier:,List of Marxists:
Epictetus, (AD 55–c. 135),Hippocrates:Chrysippus:Socrates:Cleanthes:Musonius Rufus:Diogenes:Zeno of Citium:,Albert Ellis:Han Ryner:Junius Rusticus:Marcus Aurelius:Arrian:James Stockdale:
Epicurus, (341 BC–270 BC),Democritus:Nausiphanes:Aristippus:Plato:Pyrrho:Aristotle:,Seneca the Younger:Thomas Hobbes:Metrodorus:David Hume:Gassendi:John Stuart Mill:Philodemus:Hermarchus:Lucretius:Karl Marx:Bentham:Thomas Jefferson:Baruch Spinoza:Isaac Newton:Jean-Jacques Rousseau:Voltaire:
Desiderius Erasmus, (1466–1536),Giovanni Pico della Mirandola:Socrates:Epicureanism:John Colet:Plato:Thomas Aquinas:Jerome:Jan Standonck:Cicero:Augustine of Hippo:Aristotle:Dante:Alexander Hegius:,St. Teresa of Ávila:St. Philip Neri:John Calvin:Huldrych Zwingli:St. John Fisher:St. Francis Xavier:St. Peter Canisius:St. Robert Bellarmine:Martin Luther:John Colet:St. Francis De Sales:Jacob Milich:Henry VIII:St. Thomas More:William Tyndale:St. Ignatius of Loyola:St. Charles Borromeo:St. John Henry Newman:Wolfgang Capito:John Milton:St. Pius V:
Johannes Scotus Eriugena, (c. 800–c. 880),St. Maximus the Confessor:Dionysius the Areopagite:Origen:Boethius:Plato:Cappadocian Fathers:St. Augustine of Hippo:,St. Hildegard von Bingen:Peter Damian:Israel the Grammarian:St. Thomas Aquinas:Georg Wilhelm Friedrich Hegel:School of Chartres:Honorius of Autun:Amaury of Bene:Berengar of Tours:Bernardus Silvestris:Nicholas of Cusa:Alain de Lille:St. Bernard of Clairvaux:
Rudolf Christoph Eucken, (1846–1926),Teichmüller:Lotze:Aristotle:Aquinas:Trendelenburg:,Abel J. Jones:Evelyn Underhill:W. R. Boyce Gibson:Max Scheler:
Gareth Evans (philosopher), (1946–1980),Michael Dummett:Peter Strawson:Saul Kripke:,
Emil Fackenheim, (1916–2003),F. W. J. Schelling:Franz Rosenzweig:Leo Strauss:Baruch Spinoza:Martin Heidegger:Immanuel Kant:G. W. F. Hegel:,Douglas John Hall:James Doull:
Frantz Fanon, (1925–1961),Karl Marx:Négritude:Aimé Césaire:Jean-Paul Sartre:Sigmund Freud:Jacques Lacan:G.W.F. Hegel:,Paulo Freire:Bobby Seale:Malcolm X:Afro-pessimism:Edward Said:Hortense Spillers:Huey P. Newton:Ngugi wa Thiong'o:Lewis Gordon:Ali Shariati:Steve Biko:Che Guevara:
Al-Farabi, (870–950),Porphyry:Al-Kindi:Plato:Ptolemy:Aristotle:,Avicenna:Maimonides:Ibn Bajjah:Al Amiri:Leo Strauss:Shahab al-Din Suhrawardi:Abu Sulayman Sijistani:Abū Hayyān al-Tawhīdī:Albertus Magnus:Averroes:Yahya ibn Adi:Mulla Sadra:
Herbert Feigl, (1902–1988),Hans Thirring:Karl Bühler:Hans Hahn:Moritz Schlick:,Donald Davidson:
Joel Feinberg, (1926–2004),Ralph Barton Perry:H.L.A. Hart:John Stuart Mill:,Jules Coleman:
Adam Ferguson, (1723–1816),Montesquieu:,Karl Marx:Dugald Stewart:
Jose Ferrater-Mora, (1912–1991),Miguel de Unamuno:Joaquín Xirau Palau:Eugeni d'Ors:Jose Ortega y Gasset:,Oscar Horta:
Ludwig Andreas Feuerbach, (1804–1872),Jacobi:Böhme:Hegel:Schleiermacher:Luther:Daub:Spinoza:,Malaka:Buber:Darwin:Wagner:Stirner:Bauer:Freud:Nietzsche:Marx:Engels:
Paul Feyerabend, (1924–1994),Bachelard:Koyré:Mill:Popper:Kierkegaard:Wittgenstein:Ehrenhaft:Lessing:Anscombe:,Nader:Murphy:Lakatos:McKenna:Foucault:Hacking:Kuhn:McCloskey:Churchland:
Gottlieb Fichte, (1762–1814),Gottlob Ernst Schulze:Ernst Platner:Salomon Maimon:Karl Leonhard Reinhold:Jean-Jacques Rousseau:Baruch Spinoza:Immanuel Kant:,Wilhelm von Humboldt:G. W. F. Hegel:C. I. Lewis:Jules Lequier:Johann Friedrich Herbart:Max Stirner:Novalis:Karl Wilhelm Ferdinand Solger:F. W. J. Schelling:August Ludwig Hülsen:Dieter Henrich:Karl August von Eschenmayer:Friedrich Schleiermacher:Immanuel Hermann Fichte:Ludwig Tieck:
Hartry Field, (born 1946),Alfred Tarski:Willard Van Orman Quine:Hilary Putnam:,
Robert Filmer, (1588–1653),Aristotle:Grotius:Hobbes:Milton:,Moldbug:Sidney:Tyrrell:Locke:
J. N. Findlay, (1903–1987),Wittgenstein:Hegel:,
Kuno Fischer, (1824–1907),G. W. F. Hegel:Immanuel Kant:,Wilhelm Windelband:John Pentland Mahaffy:Gottlob Frege:
John Fiske (philosopher), (1842–1901),Charles Darwin:Herbert Spencer:Francis Galton:Paul Broca:,
Jerry Fodor, (1935–2017),David Hume:Hilary Putnam:Franz Joseph Gall:Sydney Morgenbesser:Søren Kierkegaard:Noam Chomsky:,Steven Pinker:Zenon Pylyshyn:Ernest Lepore:
Philippa Foot, (1920–2010),Ludwig Wittgenstein:Thomas Nagel:G. E. M. Anscombe:Thomas Aquinas:Aristotle:,Judith Jarvis Thomson:Candace Vogler:Michael Slote:Rosalind Hursthouse:Bernard Williams:John McDowell:
Michel Foucault, (1926–1984),Heidegger:Sade:Kant:Deleuze:Freud:Marx:Montaigne:Artaud:Canguilhem:Dumézil:Bachelard:Barthes:Althusser:Bataille:Hegel:Lagache:Merleau-Ponty:Hyppolite:Goffman:Klages:Blanchot:Nietzsche:,Saba Mahmood:Jacques Rancière:Gilles Deleuze:Stephen Greenblatt:Talal Asad:Edward Said:Judith Butler:Hubert Dreyfus:David Halperin:Paul Rabinow:Giorgio Agamben:Pierre Bourdieu:Félix Guattari:
Charles Fourier, (1772–1837),Nicolas-Edme Rétif:,Herbert Marcuse:Hakim Bey:Pierre-Joseph Proudhon:André Breton:David Harvey:Victor Prosper Considerant:Jean-Baptiste André Godin:Nikolay Chernyshevsky:Karl Marx:Raoul Vaneigem:Domingo Faustino Sarmiento:Émile Armand:Paul Goodman:Walter Benjamin:Bob Black:Peter Kropotkin:Joseph Déjacque:
Semën Liudvigovich Frank, (1877–1950),Dostoyevsky:Hegel:Kant:Plotinus:Nicolaus Cusanus:Nikolai Berdyaev:Solovyov:Nietzsche:,Nikolai Berdyaev:
William K. Frankena, (1908–1994),C. I. Lewis:G. E. Moore:Alfred North Whitehead:C. D. Broad:Ralph Barton Perry:,
Harry Frankfurt, (born 1929),Descartes:Wittgenstein:Kant:,Pamela Hieronymi:Susan Wolf:J. David Velleman:John Martin Fischer:
Michael Frede, (1940–2007),Günther Patzig:de:et:,Michael Forster:
Gottlob Frege, (1848–1925),David Hume:Hermann Lotze:Friedrich Adolf Trendelenburg:Benno Kerry:G. W. Leibniz:Otto Liebmann:Kuno Fischer:Bruno Bauch:Bernard Bolzano:Immanuel Kant:Ernst Abbe:,Ludwig Wittgenstein:Bertrand Russell:Gershom Scholem:Giuseppe Peano:Rudolf Carnap:Edmund Husserl:Karl Popper:Michael Dummett:analytic tradition:
Hans Wilhelm Frei, (1922–1988),,George Lindbeck:William Placher:
Sigmund Freud, (1856–1939),,List of psychoanalysts:List of psychoanalytical theorists:
Jakob Friedrich Fries, (1773–1843),Karl Leonhard Reinhold:Immanuel Kant:,Otto Fritz Meyerhof:Karl Popper:Leonard Nelson:Hermann Lotze:
Erich Fromm, (1900–1980),Dunayevskaya:Eckhart:Korsch:Bachofen:Marx:Lukács:Spinoza:Freud:Alfred Weber:Kierkegaard:,Paulo Freire:Elias Porter:Chögyam Trungpa:Martin Luther King Jr.:
Nikolai Fyodorovich Fyodorov, (1828–1906),,Konstantin Tsiolkovsky:Transhumanism:Vladimir Vernadsky:
Hans-Georg Gadamer,NA,Wilhelm Dilthey:,
Pierre Gassendi, (1592–1655),Aristotle:Epicurus:,Gottfried Leibniz:Thomas Hobbes:John Locke:Walter Charleton:
Marcel Gauchet, (born 1946),Alexis de Tocqueville:Ernst H. Kantorowicz:Maurice Merleau-Ponty:Pierre Clastres:Raymond Aron:Claude Lefort:,
David Gauthier, (born 1932),Thomas Hobbes:John Locke:,Peter Vallentyne:Geoffrey Sayre-McCord:Jan Narveson:
Peter Geach, (1919–2013),Ludwig Wittgenstein:Aristotle:Thomas Aquinas:J. M. E. McTaggart:Gotlob Frege:,Anthony Kenny:G. E. M. Anscombe:Michael Dummett:Brian Davies:Alasdair MacIntyre:C. J. F. Williams:
