,name,birth,incoming_links,outgoing_links,page
475,Alvin Plantinga, (born 1932),Edmund Burke:Augustine of Hippo:Immanuel Kant:Søren Kierkegaard:Hilaire Belloc:John Henry Newman:William Harry Jellema:Ludwig Wittgenstein:Bertrand Russell:Luis de Molina:John Locke:Thomas More:William Alston:John Calvin:Thomas Reid:Duns Scotus:Abraham Kuyper:Thomas Aquinas:,Nicholas Wolterstorff:William Lane Craig:Trenton Merricks:Michael Horton:J. P. Moreland:John Frame:Keith DeRose:Michael Bergmann:Michael Rea:Brian Davies:Peter van Inwagen:Dallas Willard:Robin Collins:Robert Koons:,/wiki/Alvin_Plantinga
476,Plato, (c. 427 – c. 347 BC),Diotima:Orphism:Pythagoras:Cratylus:Parmenides:Archytas:Heraclitus:Theaetetus:Socrates:Homer:Hesiod:Sophists:Eleusinian Mysteries:Theodorus:,Neoplatonism:Middle Platonism:Modern Platonism:religion:Platonism:Byzantine philosophy:Hermeticism:Christian Platonism:Renaissance Platonism:Church Fathers:Islamic Platonism:Gnosticism:Western philosophy:Florentine Academy:Chaldean Oracles:Cambridge Platonism:Aristotelianism:Old Academy:Academic skepticism:,/wiki/Plato
477,Georgi Plekhanov, (1856–1918),Mikhail Bakunin:Friedrich Engels:Karl Marx:Ludwig Feuerbach:Baruch Spinoza:,Lenin:,/wiki/Georgi_Plekhanov
478,Gemistus Pletho, (c. 1355 – c. 1452),Plotinus:Plato:Demetrios Kydones:,John Argyropoulos:Hermonymus of Sparta:Nicholas of Cusa:Marsilio Ficino:Cosimo de' Medici:Bessarion:,/wiki/Gemistus_Pletho
479,Plotinus, (died 270),Numenius of Apamea:Aristotle:Plato:Middle Platonism:Heraclitus:Alexander of Aphrodisias:Ammonius Saccas:Empedocles:Neopythagoreanism:,Proclus:Simplicius:Christianity:Hierocles:Gemistus Pletho:Porphyry:Avicenna:Augustine:Pseudo-Dionysius:Damascius:Iamblichus:Origen:Henri Bergson:Johannes Scotus Eriugena:Arthur Schopenhauer:Renaissance Platonism:Arthur Drews:Traditionalist School:al-Kindi:Gnosticism:Boethius:Hypatia:Bonaventure:Julian:,/wiki/Plotinus
480,Plutarch,NA,,Proclus:,/wiki/Plutarch_of_Athens
481,Henri Poincaré, (1854–1912),Ernst Mach:Immanuel Kant:Lazarus Fuchs:,Albert Einstein:George David Birkhoff:Louis Rougier:,/wiki/Henri_Poincar%C3%A9
482,Karl Popper, (1902–1994),Socrates:Hume:Frege:Fries:Mill:Bolzano:Aristotle:Vienna Circle:Campbell:Husserl:Kant:Descartes:Einstein:Selz:Russell:Kierkegaard:Burke:Peirce:Hayek:Wächtershäuser:Schopenhauer:Tarski:,Eccles:Feyerabend:Penrose:Munz:Gombrich:Deutsch:Hayek:Levinson:Kuhn:Bartley:Gillies:Soros:Lakatos:Shearmur:Jarvie:Gellner:Redhead:Medawar:Magee:Friedman:Lorenz:Miller:Albert:Schmidt:,/wiki/Karl_Popper
483,Porphyry (philosopher), (c. 232 – c. 304),Plotinus:Aristotle:Plato:Middle Platonism:,Isagoge:Neoplatonism:Sossianus Hierocles:Aristotelianism:Boethius:Scholasticism:,/wiki/Porphyry_(philosopher)
484,Posidonius, (c. 135 – 51 BC),Chrysippus:Panaetius:Aristotle:Plato:,Jason of Nysa:Cleomedes:Plutarch:Strabo:Seneca:Cicero:Livy:Diodorus Siculus:,/wiki/Posidonius
485,Nicos Poulantzas, (1936–1979),Leon Trotsky:Eurocommunism:Karl Marx:Vladimir Lenin:Rosa Luxemburg:Evgeny Pashukanis:Louis Althusser:Jean-Paul Sartre:Antonio Gramsci:,John Holloway:James C. Scott:Bob Jessop:,/wiki/Nicos_Poulantzas
486,Costanzo Preve, (1943–2013),Aristotle:Plato:Karel Kosík:Karl Marx:Friedrich Hegel:Johann Gottlieb Fichte:Giambattista Vico:György Lukács:Baruch Spinoza:,,/wiki/Costanzo_Preve
487,Henry Habberley Price, (1899–1984),H. A. Pritchard:,,/wiki/Henry_Habberley_Price
488,Harold Arthur Prichard,NA,,J. L. Austin:,/wiki/H._A._Prichard
489,Arthur Prior, (1914–1969),William Ernest Johnson:Charles Sanders Peirce:Józef Maria Bocheński:J. N. Findlay:Jan Łukasiewicz:,Max Cresswell:Robert Bull:Kit Fine:Ruth Barcan Marcus:John Lemmon:,/wiki/Arthur_Prior
490,Proclus, (412–487),Aristotle:Plato:Plutarch:Iamblichus:Syrianus:Plotinus:,Ammonius Hermiae:Nicholas of Cusa:Pseudo-Dionysius:Damascius:Marsilio Ficino:St. Thomas Aquinas:Marinus:,/wiki/Proclus
491,Protagoras, (c. 481 – 420 BC),Parmenides:Anaxagoras:Democritus:,Jeremy Bentham:Friedrich Nietzsche:F.C.S. Schiller:Plato:,/wiki/Protagoras
492,Pierre-Joseph Proudhon, (1809–1865),Adam Smith:G. W. F. Hegel:Alexander Herzen:Charles Fourier:,Mikhail Bakunin:Victor Hugo:Antero de Quental:Friedrich Wilhelm Schulz:Georges Sorel:Karl Marx:Joseph Déjacque:Peter Kropotkin:Francesc Pi i Margall:Errico Malatesta:Benjamin Tucker:Max Stirner:,/wiki/Pierre-Joseph_Proudhon
493,Pseudo-Dionysius the Areopagite, (5th century),Basil of Caesarea:Proclus:Clement of Alexandria:Iamblichus:Origen:Plotinus:Gregory of Nyssa:,Western Christianity:Eastern:,/wiki/Pseudo-Dionysius_the_Areopagite
494,Samuel Pufendorf, (1632–1694),René Descartes:Hugo Grotius:Erhard Weigel:Thomas Hobbes:,Christian Thomasius:,/wiki/Samuel_Pufendorf
495,Hilary Putnam, (1926–2016),Hans Reichenbach:William James:Emmanuel Levinas:Willard Van Orman Quine:Stanley Cavell:Bertrand Russell:John Dewey:Nelson Goodman:Immanuel Kant:Edmund Husserl:Saul Kripke:Karl Marx:Ned Block:John McDowell:Alan Turing:Søren Kierkegaard:Ludwig Wittgenstein:Sigmund Freud:Franz Rosenzweig:Charles Sanders Peirce:Martin Buber:,Hartry Field:David Marr:Paul Benacerraf:John Worrall:Saul Kripke:George Boolos:Donald Davidson:Norman Daniels:Jerry Fodor:David Lewis:Ned Block:Daniel Dennett:Richard Boyd:Martha Nussbaum:Tyler Burge:,/wiki/Hilary_Putnam
496,Pyrrho, (c. 360 – c. 270),Xenophanes:Gautama Buddha:Homer:Democritus:,Galen:Arcesilaus:Michel de Montaigne:Aenesidemus:Sextus Empiricus:Epicurus:Timon of Phlius:,/wiki/Pyrrho
497,Pythagoras, (582 – 496 BC),Orphism:Anaximander:Themistoclea:Thales:Pherecydes:,Aristotle:Plato:Xenophanes:Pythagoreanism:Empedocles:,/wiki/Pythagoras
498,W. V. O. Quine, (1908–2000),Rudolf Carnap:Alfred Tarski:Vienna Circle:Pierre Duhem:A. N. Whitehead:Bertrand Russell:C. I. Lewis:B. F. Skinner:,Hao Wang:Donald Davidson:Roger Gibson:Daniel Dennett:David Lewis:Penelope Maddy:Hilary Putnam:Dagfinn Føllesdal:Noam Chomsky:Gilbert Harman:Peter van Inwagen:Richard Rorty:,/wiki/W._V._O._Quine
499,Karl Rahner, (1904–1984),neo-Thomism:Immanuel Kant:Erich Przywara:Martin Heidegger:Joseph Maréchal:Ignatius of Loyola:Origen:Ludwig Feuerbach:Thomas Aquinas:Augustine of Hippo:,Tomas Halik:Herbert Vorgrimler:Kathryn Tanner:Catherine LaCugna:Francis A. Sullivan:Johann Baptist Metz:Jon Sobrino:,/wiki/Karl_Rahner
500,Frank P. Ramsey,NA,,Max Black:,/wiki/Frank_Ramsey_(mathematician)
501,Petrus Ramus, (1515–1572),,Jean Bodin:,/wiki/Petrus_Ramus
502,Jacques Rancière, (born 1940),Lacan:Aristotle:Lyotard:Plato:Marx:Althusser:Lefort:Arendt:Badiou:Foucault:,Žižek:Critchley:Kristin Ross:Jodi Dean:Gabriel Rockhill:Todd May:Laclau:Levi Bryant:Bernard Aspe:,/wiki/Jacques_Ranci%C3%A8re
503,Felix Ravaisson-Mollien, (1813–1900),Aristotle:Victor Cousin:Descartes:Schelling:Leibniz:Maine de Biran:Pascal:,Pierre Hadot:Louis Lavelle:Paul Ricœur:Martin Heidegger:Dominique Janicaud:Henri Bergson:François Laruelle:Maurice Merleau-Ponty:,/wiki/Felix_Ravaisson-Mollien
504,John Rawls, (1921–2002),Locke:Hobbes:Rousseau:Sidgwick:Meade:Mill:Aristotle:Berlin:Hart:Kant:Thoreau:Pareto:Darwin:Freud:King Jr.:Wittgenstein:Dreben:Nietzsche:Marx:Shklar:Malcolm:Constant:Weber:,Honneth:Raz:G.A. Cohen:Fleurbaey:Kymlicka:Harsanyi:Wolin:Sandel:Beitz:Anderson:Nino:Young:Appiah:Ricoeur:Otsuka:Brooks:Barry:Estlund:Scanlon:September Group:Wolff:Korsgaard:Taylor:Scarry:Walzer:Stern:Binmore:Shelby:Forst:O'Neill:Freeman:Foisneau:Neiman:Shapiro:Nussbaum:Davidson:Card:Cavell:Pogge:Krugman:West:Van Parijs:Nozick:Benhabib:Sen:Dworkin:Guttmann:Okin:Habermas:Cohen:Phelps:Rorty:Nagel:Fraser:,/wiki/John_Rawls
505,Joseph Raz, (born 1939),Peter Hacker:Hans Kelsen:H. L. A. Hart:,Leslie Green:Timothy Endicott:Matthew Kramer:John Gardner:Scott J. Shapiro:,/wiki/Joseph_Raz
506,Fakhr al-Din al-Razi, (1149–1209),Ibn Furak:Abu al-Hasan al-Ash'ari:Al-Juwayni:Al-Shafi'i:Al-Ghazali:,Taj al-Din al-Subki:Burhan al-Din al-Nasafi:Ibn Abi Usaybi'a:Al-Safadi:Shihab al-Din al-Qarafi:Athir al-Din al-Abhari:Nizam al-Din al-Nisapuri:Al-Suyuti:,/wiki/Fakhr_al-Din_al-Razi
507,Pierre-Sylvain Regis, (1632–1707),René Descartes:Nicolas Malebranche:Baruch Spinoza:,,/wiki/Pierre-Sylvain_Regis
508,August Wilhelm Rehberg, (1757–1836),Kant:,,/wiki/August_Wilhelm_Rehberg
509,Hans Reichenbach, (1891–1953),Kurt Grelling:Paul Hensel:,Carl Gustav Hempel:Takiyettin Mengüşoğlu:Hilmi Ziya Ülken:İoanna Kuçuradi:,/wiki/Hans_Reichenbach
510,Thomas Reid, (1710–1796),David Hume:Thomas Aquinas:George Berkeley:Cicero:,Victor Cousin:Dugald Stewart:Roderick Chisholm:William L. Rowe:William James:G. E. Moore:James Frederick Ferrier:Charles Hodge:Michael Huemer:Keith DeRose:Arthur Schopenhauer:Alvin Plantinga:William Alston:David Hartley:Keith Lehrer:C. S. Peirce:Nicholas Wolterstorff:James Beattie:George Elder Davie:Michael Bergmann:,/wiki/Thomas_Reid
511,Adolf Reinach, (1883–1917),Edmund Husserl:,,/wiki/Adolf_Reinach
512,Karl Leonhard Reinhold, (1757–1823),Immanuel Kant:Christoph Martin Wieland:John Spencer:Christoph Gottfried Bardili:,Salomon Maimon:Friedrich Schiller:Adolf Trendelenburg:Johann Gottlieb Fichte:August Ludwig Hülsen:Jakob Friedrich Fries:,/wiki/Karl_Leonhard_Reinhold
513,Charles Bernard Renouvier, (1815–1903),Emanuel Swedenborg:Immanuel Kant:Jules Lequier:,Émile Durkheim:Octave Hamelin:William James:Léon Brunschvicg:Alfred Fouillée:,/wiki/Charles_Bernard_Renouvier
514,Nicholas Rescher, (born 1928),Plato:Whitehead:Hempel:Peirce:Leibniz:Kant:,Michele Marsonet:John Leslie:Lorenz Bruno Puntel:Alexander Pruss:Ernest Sosa:,/wiki/Nicholas_Rescher
515,Heinrich Rickert, (1863–1936),Johann Gottlieb Fichte:Wilhelm Windelband:Immanuel Kant:Alois Riehl:,Max Weber:Edmund Husserl:Ernst Bloch:George Vernadsky:Emil Lask:Walter Benjamin:Martin Heidegger:,/wiki/Heinrich_Rickert
516,Paul Ricœur, (1913–2005),Marcel:Hegel:Levinas:Mounier:Benveniste:Husserl:Jakobson:Jaspers:Gadamer:Kant:,Richard Kearney:Jacques Derrida:Enrique Dussel:Don Ihde:Michel Henry:Cornelius Castoriadis:,/wiki/Paul_Ric%C5%93ur
517,Avital Ronell, (born 1952),Jacques Derrida:Ernst Jünger:Walter Benjamin:Martin Heidegger:Carl Schmitt:Johann Peter Eckermann:Gustave Flaubert:Sigmund Freud:R. D. Laing:Johann Wolfgang von Goethe:Friedrich Nietzsche:Hélène Cixous:,,/wiki/Avital_Ronell
518,Richard Rorty, (1931–2007),Isaiah Berlin:Jacques Derrida:Walter Rauschenbusch:Michel Foucault:Thomas Kuhn:Donald Davidson:Martin Heidegger:Jean-François Lyotard:William James:Ludwig Wittgenstein:Wilfrid Sellars:John Dewey:John Rawls:Leo Strauss:Hubert Dreyfus:Friedrich Nietzsche:W. V. O. Quine:,Jeffrey Stout:Richard J. Bernstein:Cornel West:Richard Posner:Gianni Vattimo:Robert Brandom:Laurence BonJour:Jurgen Habermas:Chantal Mouffe:Alice Crary:Michael Williams:John McDowell:,/wiki/Richard_Rorty
519,Franz Rosenzweig, (1886–1929),Kierkegaard:Hegel:Rosenstock-Huessy:Buber:Schelling:Cohen:,Buber:Levinas:Glatzer:Fackenheim:Santner:Derrida:Benjamin:Leo Strauss:Irad Kimhi:,/wiki/Franz_Rosenzweig
520,Antonio Rosmini-Serbati, (1797–1855),Adam Smith:Jean de Sismondi:Augustin Thierry:Marquis de Condorcet:Melchiorre Gioia:Gian Domenico Romagnosi:François Guizot:David Hume:,,/wiki/Antonio_Rosmini-Serbati
521,Alf Niels Christian Ross, (1899–1979),Axel Hägerström:Hans Kelsen:,Zygmunt Ziembiński:,/wiki/Alf_Niels_Christian_Ross
522,William David Ross, (1877–1971),H. A. Prichard:Aristotle:Immanuel Kant:G. E. Moore:,Robert Audi:Tom Beauchamp:Bernard Gert:Tara Smith:,/wiki/William_David_Ross
523,Jean Jacques Rousseau, (1712–1778),Locke:Malebranche:Hobbes:Socrates:Voltaire:Spinoza:Leibniz:Machiavelli:Aristotle:Plutarch:Descartes:Condillac:Plato:Montesquieu:Grotius:Diderot:D'Épinay:Pufendorf:D'Alembert:,Proudhon:Montessori:Wollstonecraft:Hume:Smith:Rawls:Dewey:Bloom:Strauss:Saint-Just:Kant:Engels:American Revolution:Thoreau:de Sade:Kitsikis:Madame de Stael:Darwin:Derrida:Freud:Goethe:Malaka:Tolstoy:French Revolution:Nietzsche:Hegel:Gibbon:Paine:Marx:Fichte:Romanticism:Robespierre:Counter-Enlightenment:Napoleon Bonaparte:Schopenhauer:,/wiki/Jean_Jacques_Rousseau
524,"Claude Henri de Rouvroy, Comte de Saint-Simon", (1760–1825),Charles Dunoyer:Anne Robert Jacques Turgot:Adam Smith:Augustin Thierry:Isaac Newton:Emmanuel Sieyès:Jean-Baptiste Say:Marquis de Condorcet:René Descartes:John Locke:Jean le Rond d'Alembert:Voltaire:Nicolas-Edme Rétif:Joseph de Maistre:Francis Bacon:David Hume:Jean-Jacques Rousseau:Edward Gibbon:,Pierre-Joseph Proudhon:Prosper Enfantin:Auguste Comte:Lorenz von Stein:Friedrich Engels:Karl Marx:Pierre Leroux:John Stuart Mill:Péreire brothers:Thorstein Veblen:Michel Chevalier:,"/wiki/Claude_Henri_de_Rouvroy,_Comte_de_Saint-Simon"
525,Josiah Royce, (1865–1916),Friedrich Wilhelm Joseph Schelling:Hermann Lotze:William James:Alfred Bray Kempe:Charles Sanders Peirce:George Sylvester Morris:,Timothy Sprigge:William Ernest Hocking:C. I. Lewis:Gabriel Marcel:John Elof Boodin:J. W. Miller:Edward Vermilye Huntington:Norbert Wiener:Brand Blanshard:Morris Raphael Cohen:G. H. Mead:Henry M. Sheffer:,/wiki/Josiah_Royce
526,Bertrand Russell, (1872–1970),Moore:Stout:Shelley:James:Spinoza:Hume:Boole:Leibniz:De Morgan:Cantor:Sidgwick:Frege:Mill:Ward:Mach:Santayana:Euclid:Kant:Meinong:Whitehead:Peano:Wittgenstein:,Stephen Hawking:Jacob Bronowski:Robert Oppenheimer:Herbert A. Simon:Txillardegi:A. C. Grayling:Richard Dawkins:Moritz Schlick:Christopher Hitchens:Michael Albert:Paul Kurtz:Joseph Rotblat:Frank Wilczek:Alfred Tarski:Vienna Circle:Colin McGinn:John von Neumann:G. H. Hardy:Jawaharlal Nehru:Isaac Asimov:Donald Davidson:Aleksandr Solzhenitsyn:Marvin Minsky:Buckminster Fuller:A. J. Ayer:Kurt Grelling:John Maynard Keynes:Noam Chomsky:Sidney Hook:Che Guevara:Kurt Gödel:Nathan Salmon:Isaiah Berlin:Rudolf Carnap:Leon Chwistek:Andrei Sakharov:Ray Kurzweil:Karl Popper:Saul Kripke:Martin Gardner:Pervez Hoodbhoy:W. V. Quine:Hilary Putnam:Norbert Wiener:Albert Ellis:Alan Turing:James Joyce:Frank P. Ramsey:Bernard Williams:Thomas Kuhn:Ludwig Wittgenstein:Kurt Vonnegut:John Searle:Edward Said:Daniel Dennett:Carl Sagan:J. L. Austin:Tariq Ali:B. F. Skinner:,/wiki/Bertrand_Russell
527,Gilbert Ryle, (1900–1976),René Descartes:Edmund Husserl:Ludwig Wittgenstein:Herbert James Paton:,G. A. Cohen:P. F. Strawson:Ullin Place:Michael Dummett:John Searle:Wilfrid Sellars:Daniel Dennett:A. J. Ayer:Þorsteinn Gylfason:J. J. C. Smart:J. L. Austin:Clifford Geertz:R. M. Hare:Richard Webster:,/wiki/Gilbert_Ryle
528,Mark Sainsbury (philosopher), (born 1943),Gottlob Frege:Michael Dummett:Bertrand Russell:,,/wiki/Mark_Sainsbury_(philosopher)
529,Nathan Salmon, (born 1951),Alonzo Church:Gotlob Frege:Saul Kripke:Bertrand Russell:David Kaplan:,,/wiki/Nathan_Salmon
530,Wesley Salmon, (1925–2001),Carl Gustav Hempel:,,/wiki/Wesley_Salmon
531,Francisco Sanches, (1551–1623),Sextus Empiricus:,Modern Philosophy:Pierre Bayle:,/wiki/Francisco_Sanches
532,Michael Sandel, (born 1953),Charles Taylor:Aristotle:Immanuel Kant:Michael Walzer:John Locke:John Stuart Mill:John Rawls:,Richard David Precht:Ed Miliband:,/wiki/Michael_Sandel
533,George Santayana, (1863–1952),Aristotle:Plato:Lucretius:Democritus:William James:Spinoza:Schopenhauer:,Wallace Stevens:Russel Kirk:Glenn Gould:John Lachs:,/wiki/George_Santayana
534,Jean-Paul Sartre, (1905–1980),Wahl:Levinas:Nizan:Merleau-Ponty:Rousseau:Céline:Husserl:Proust:Kojève:Flaubert:Bergson:Darwin:Stekel:Bachelard:Freud:Kierkegaard:Hegel:Nietzsche:Marx:Lefebvre:Heidegger:de Beauvoir:,Debord:Merleau-Ponty:Guevara:van Fraassen:Gorz:Bourdieu:Fanon:Laing:Badiou:Lukács:Camus:Aron:Lacan:Butler:Deleuze:Jeanson:de Beauvoir:Goffman:Rancière:Pinter:Leibowitz:,/wiki/Jean-Paul_Sartre
535,Ferdinand de Saussure, (1857–1913),Oldenberg:Durkheim:Zimmer:Leskien:Pāṇini:,Meillet:Bloomfield:Merleau-Ponty:Mukařovský:Benveniste:Prague school:Jakobson:Lacan:Barthes:R. Harris:Althusser:Derrida:Labov:Foucault:Lévi-Strauss:Hjelmslev:Percy:Firth:Shaumyan:Laclau:,/wiki/Ferdinand_de_Saussure
536,Fernando Savater, (born 1947),Nietzsche:Cioran:Voltaire:Spinoza:,,/wiki/Fernando_Savater
537,Friedrich Karl von Savigny, (1779–1861),Gustav Hugo:,August von Bethmann-Hollweg:,/wiki/Friedrich_Karl_von_Savigny
538,T. M. Scanlon, (born 1940),Saul Kripke:John Rawls:Immanuel Kant:Jean-Jacques Rousseau:,Thomas Nagel:Derek Parfit:Pamela Hieronymi:Christine Korsgaard:,/wiki/T._M._Scanlon
539,Max Scheler, (1874–1928),Edmund Husserl:Wilhelm Dilthey:Franz Brentano:Rudolf Eucken:Henri Bergson:Theodor Lipps:Carl Stumpf:Blaise Pascal:Georg Simmel:Friedrich Nietzsche:,Viktor Frankl:Nicolai Hartmann:Edith Stein:Karol Wojtyła:Martin Heidegger:Dietrich von Hildebrand:Ortega y Gasset:Maurice Merleau-Ponty:Martin Buber:,/wiki/Max_Scheler
540,Friedrich Schelling, (1775–1852),Jacobi:Plato:Kielmeyer:Hölderlin:Herder:J. G. Fichte:Goethe:Spinoza:Plotinus:Böhme:Leibniz:Kant:,von Hartmann:Solovyov:Ast:Bernays:Krause:Secrétan:Weisse:Carus:Cousin:Esenbeck:Russian Schellingianism:Solger:Hâjdeu:Gadamer:Pareyson:Coleridge:Ravaisson:Van Til:Vogelin:Jung:Grant:Freud:Goethe:Wilber:Deleuze:Žižek:Tillich:da Silva:Kierkegaard:Hegel:Humboldt:Fackenheim:Fichte:Habermas:Peirce:Royce:Heidegger:,/wiki/Friedrich_Schelling
541,F. C. S. Schiller, (1864–1937),Protagoras:William James:,"Victoria, Lady Welby:William James:",/wiki/F._C._S._Schiller
542,August Wilhelm Schlegel, (1767–1845),Immanuel Kant:J. G. Fichte:Johann Gottfried Herder:,,/wiki/August_Wilhelm_Schlegel
543,Karl Wilhelm Friedrich Schlegel,NA,Johann Gottfried Herder:,,/wiki/Friedrich_Schlegel
544,Friedrich Schleiermacher, (1768–1834),Immanuel Kant:Plato:Johann August Ernesti:K. W. F. Schlegel:J. G. Fichte:Johann Gottfried Herder:F. W. J. Schelling:Friedrich Ast:Baruch Spinoza:Friedrich August Wolf:,Albrecht Ritschl:Wilhelm Dilthey:Antoine Berman:Walter Rauschenbusch:Daphne Hampson:Paul Tillich:Karl Barth:Hans-Georg Gadamer:August Böckh:Rudolf Bultmann:Manfred Frank:Friedrich Adolf Trendelenburg:Heinrich Ritter:L. Harold DeWolf:Friedrich Ueberweg:,/wiki/Friedrich_Schleiermacher
545,Moritz Schlick, (1882–1936),Arthur Schopenhauer:Immanuel Kant:Ernst Mach:Alois Riehl:Ludwig Wittgenstein:Bertrand Russell:Max Planck:Wilhelm Wundt:,Vienna Circle:Herbert Feigl:Albert Einstein:Susan Stebbing:Gustav Bergmann:Kurt Gödel:Albert Blumberg:,/wiki/Moritz_Schlick
546,Carl Schmitt, (1888–1985),Edmund Burke:Immanuel Kant:Max Weber:Plato:Søren Kierkegaard:Thomas Hobbes:Georg Wilhelm Friedrich Hegel:Juan Donoso Cortés:Leo Strauss:Joseph de Maistre:René Guénon:Niccolò Machiavelli:Jean-Jacques Rousseau:,Jacob Taubes:Mario Tronti:Slavoj Žižek:Jacques Derrida:Mark Lilla:Hannah Arendt:Copenhagen School:Reinhart Koselleck:Jürgen Habermas:Giorgio Agamben:Hans Morgenthau:Alain de Benoist:Leo Strauss:Chantal Mouffe:Ernst Jünger:Jiang Shigong:Jaime Guzmán:Walter Benjamin:Antonio Negri:,/wiki/Carl_Schmitt
547,Gershom Scholem, (1897–1982),Rosenzweig:Buber:Strauss:Cohen:Ahad Ha'am:Benjamin:Arendt:Kafka:Frege:,Bloom:Chabon:Strauss:Steiner:Idel:Derrida:Benjamin:Arendt:Agamben:Uffenheimer:Eco:Borges:,/wiki/Gershom_Scholem
548,Arthur Schopenhauer, (1788–1860),Aristotle:Plato:Berkeley:Locke:Krause:Schulze:Theravada:Hinduism (Upanishads):Goethe:German mysticism:Spinoza:Hume:Kant:Descartes:,Anjos:Solovyov:Weininger:Kraus:Hartmann:Ryle:Schlick:Zola:Assis:Hesse:Hardy:Mainländer:Schrödinger:Spengler:Vaihinger:Mahler:Rank:Volkelt:Cioran:Fet:Rilke:Zapffe:Huysmans:Campbell:Santayana:Horkheimer:Schoenberg:Wagner:Proust:Dilthey:Bergson:Einstein:Michelstaedter:Jung:Reve:Brahms:Freud:Wittgenstein:Tolstoy:Gray:Bahnsen:Maupassant:Nietzsche:Brouwer:Ludovici:Beckett:Mann:Majorana:Shaw:Borges:Ligotti:,/wiki/Arthur_Schopenhauer
549,Gottlob Ernst Schulze, (1761–1833),David Hume:Immanuel Kant:,Johann Gottlieb Fichte:,/wiki/Gottlob_Ernst_Schulze
550,Roger Scruton, (1944–2020),Richard Wagner:Malcolm Budd:Simone Weil:Edmund Burke:Fyodor Dostoevsky:René Girard:T. S. Eliot:Franz Kafka:Immanuel Kant:Edmund Husserl:Georg Wilhelm Friedrich Hegel:John Ruskin:Michael Oakeshott:G. E. M. Anscombe:Leo Strauss:Søren Kierkegaard:Rainer Maria Rilke:Ludwig Wittgenstein:Stephen Darwall:Charles de Gaulle:Jean-Paul Sartre:Martin Buber:,Ed Husain:Raymond Tallis:Alexander Stoddart:Christina Hoff Sommers:Alicja Gescinska:Malcolm Budd:Tim Crane:Anthony O'Hear:Giles Fraser:Maurice Glasman:Douglas Murray:Mark Dooley:Marwa Al-Sabouni:,/wiki/Roger_Scruton
551,John Searle, (born 1932),Strawson:Austin:Anscombe:Grice:Chomsky:Russell:Wittgenstein:Hume:Frege:,,/wiki/John_Searle
552,Juan José Sebreli, (born 1930),Georg W. F. Hegel:Alexandre Kojève:Immanuel Kant:Max Weber:Domingo Faustino Sarmiento:Karl Marx:Carl Schmitt:Mario Bunge:Juan Bautista Alberdi:Tran Duc Thao:Jean-Paul Sartre:,,/wiki/Juan_Jos%C3%A9_Sebreli
553,John Selden, (1584–1654),Connan:Hugo Grotius:Alciato:,Blackstone:Locke:Burke:Great Tew:Hobbes:Cumberland:Vico:Pufendorf:Hume:Smith:,/wiki/John_Selden
554,Wilfrid Sellars, (1912–1989),Rudolf Carnap:Immanuel Kant:Clarence Irving Lewis:Edmund Husserl:Martin Heidegger:Roy Wood Sellars:Gilbert Ryle:,Jay Rosenberg:Paul Churchland:Ray Brassier:Robert Brandom:Ruth Millikan:Annette Baier:Daniel Dennett:Bas van Fraassen:John McDowell:Richard Rorty:,/wiki/Wilfrid_Sellars
555,Seneca the Younger, (c. 4 BC–AD 65),Attalus:Zeno of Citium:Plato:Cleanthes:Chrysippus:Sotion:Epicurus:Publilius Syrus:,Cardinal Giovanni Colonna:Medieval philosophy:Tertullian:Michel de Montaigne:Marcus Aurelius:Albertino Mussato:Dante Alighieri:Martin of Braga:Baruch Spinoza:Augustine of Hippo:,/wiki/Seneca_the_Younger
556,Michel Serres, (1930–2019),Baruch Spinoza:Gaston Bachelard:,Bruno Latour:Pierre Lévy:Ilya Prigogine:Steven Connor:Réda Benkirane:Isabelle Stengers:,/wiki/Michel_Serres
557,Sextus Empiricus, (2nd/3rd century),Agrippa:Aenesidemus:Pyrrho:Herodotus of Tarsus:Timon of Phlius:,Hegel:Edmund Husserl:Nassim Taleb:Michel de Montaigne:Friedrich Nietzsche:David Hume:Descartes:,/wiki/Sextus_Empiricus
